sport,league,game_id,start_time,bookmaker,market,team,price,point,home_team,away_team
CBBM,,9ee9475ae10c5582bd2f9b3d5e849b30,2025-12-31 11:00:00 CST,BetOnline.ag,spreads,Army Knights,1.91,6.0,Lehigh Mountain Hawks,Army Knights
CBBM,,9ee9475ae10c5582bd2f9b3d5e849b30,2025-12-31 11:00:00 CST,BetOnline.ag,spreads,Lehigh Mountain Hawks,1.91,-6.0,Lehigh Mountain Hawks,Army Knights
CBBM,,9ee9475ae10c5582bd2f9b3d5e849b30,2025-12-31 11:00:00 CST,BetOnline.ag,totals,Over,1.91,146.0,Lehigh Mountain Hawks,Army Knights
CBBM,,9ee9475ae10c5582bd2f9b3d5e849b30,2025-12-31 11:00:00 CST,BetOnline.ag,totals,Under,1.91,146.0,Lehigh Mountain Hawks,Army Knights
CBBM,,9ee9475ae10c5582bd2f9b3d5e849b30,2025-12-31 11:00:00 CST,FanDuel,h2h,Army Knights,2.8,,Lehigh Mountain Hawks,Army Knights
CBBM,,9ee9475ae10c5582bd2f9b3d5e849b30,2025-12-31 11:00:00 CST,FanDuel,h2h,Lehigh Mountain Hawks,1.44,,Lehigh Mountain Hawks,Army Knights
CBBM,,9ee9475ae10c5582bd2f9b3d5e849b30,2025-12-31 11:00:00 CST,FanDuel,spreads,Army Knights,1.85,5.5,Lehigh Mountain Hawks,Army Knights
CBBM,,9ee9475ae10c5582bd2f9b3d5e849b30,2025-12-31 11:00:00 CST,FanDuel,spreads,Lehigh Mountain Hawks,1.96,-5.5,Lehigh Mountain Hawks,Army Knights
CBBM,,9ee9475ae10c5582bd2f9b3d5e849b30,2025-12-31 11:00:00 CST,FanDuel,totals,Over,1.87,144.5,Lehigh Mountain Hawks,Army Knights
CBBM,,9ee9475ae10c5582bd2f9b3d5e849b30,2025-12-31 11:00:00 CST,FanDuel,totals,Under,1.95,144.5,Lehigh Mountain Hawks,Army Knights
CBBM,,9ee9475ae10c5582bd2f9b3d5e849b30,2025-12-31 11:00:00 CST,Pinnacle,h2h,Army Knights,2.9,,Lehigh Mountain Hawks,Army Knights
CBBM,,9ee9475ae10c5582bd2f9b3d5e849b30,2025-12-31 11:00:00 CST,Pinnacle,h2h,Lehigh Mountain Hawks,1.42,,Lehigh Mountain Hawks,Army Knights
CBBM,,9ee9475ae10c5582bd2f9b3d5e849b30,2025-12-31 11:00:00 CST,Pinnacle,spreads,Army Knights,1.92,5.5,Lehigh Mountain Hawks,Army Knights
CBBM,,9ee9475ae10c5582bd2f9b3d5e849b30,2025-12-31 11:00:00 CST,Pinnacle,spreads,Lehigh Mountain Hawks,1.9,-5.5,Lehigh Mountain Hawks,Army Knights
CBBM,,9ee9475ae10c5582bd2f9b3d5e849b30,2025-12-31 11:00:00 CST,Pinnacle,totals,Over,1.92,147.0,Lehigh Mountain Hawks,Army Knights
CBBM,,9ee9475ae10c5582bd2f9b3d5e849b30,2025-12-31 11:00:00 CST,Pinnacle,totals,Under,1.87,147.0,Lehigh Mountain Hawks,Army Knights
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,BetOnline.ag,h2h,East Carolina Pirates,2.25,,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,BetOnline.ag,h2h,Tulane Green Wave,1.69,,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,BetOnline.ag,spreads,East Carolina Pirates,1.91,2.5,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,BetOnline.ag,spreads,Tulane Green Wave,1.91,-2.5,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,BetOnline.ag,totals,Over,1.91,145.0,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,BetOnline.ag,totals,Under,1.91,145.0,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,FanDuel,h2h,East Carolina Pirates,2.18,,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,FanDuel,h2h,Tulane Green Wave,1.7,,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,FanDuel,spreads,East Carolina Pirates,1.85,2.5,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,FanDuel,spreads,Tulane Green Wave,1.96,-2.5,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,FanDuel,totals,Over,1.91,144.5,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,FanDuel,totals,Under,1.91,144.5,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,Pinnacle,h2h,East Carolina Pirates,2.08,,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,Pinnacle,h2h,Tulane Green Wave,1.79,,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,Pinnacle,spreads,East Carolina Pirates,1.89,2.0,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,Pinnacle,spreads,Tulane Green Wave,1.96,-2.0,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,Pinnacle,totals,Over,1.93,144.5,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,Pinnacle,totals,Under,1.88,144.5,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,BetUS,h2h,East Carolina Pirates,2.25,,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,BetUS,h2h,Tulane Green Wave,1.69,,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,BetUS,spreads,East Carolina Pirates,1.91,2.0,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,BetUS,spreads,Tulane Green Wave,1.91,-2.0,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,BetUS,totals,Over,1.91,145.0,East Carolina Pirates,Tulane Green Wave
CBBM,,2b6f60be34bfd44f40db33cfb70686ee,2025-12-31 11:00:00 CST,BetUS,totals,Under,1.91,145.0,East Carolina Pirates,Tulane Green Wave
CBBM,,236630823a1d721d6706b6020eb229d3,2025-12-31 11:00:00 CST,BetOnline.ag,spreads,East Texas A&M Lions,2.0,5.5,East Texas A&M Lions,Lamar Cardinals
CBBM,,236630823a1d721d6706b6020eb229d3,2025-12-31 11:00:00 CST,BetOnline.ag,spreads,Lamar Cardinals,1.83,-5.5,East Texas A&M Lions,Lamar Cardinals
CBBM,,236630823a1d721d6706b6020eb229d3,2025-12-31 11:00:00 CST,BetOnline.ag,totals,Over,1.95,142.5,East Texas A&M Lions,Lamar Cardinals
CBBM,,236630823a1d721d6706b6020eb229d3,2025-12-31 11:00:00 CST,BetOnline.ag,totals,Under,1.87,142.5,East Texas A&M Lions,Lamar Cardinals
CBBM,,236630823a1d721d6706b6020eb229d3,2025-12-31 11:00:00 CST,FanDuel,h2h,East Texas A&M Lions,3.05,,East Texas A&M Lions,Lamar Cardinals
CBBM,,236630823a1d721d6706b6020eb229d3,2025-12-31 11:00:00 CST,FanDuel,h2h,Lamar Cardinals,1.38,,East Texas A&M Lions,Lamar Cardinals
CBBM,,236630823a1d721d6706b6020eb229d3,2025-12-31 11:00:00 CST,FanDuel,spreads,East Texas A&M Lions,1.89,5.5,East Texas A&M Lions,Lamar Cardinals
CBBM,,236630823a1d721d6706b6020eb229d3,2025-12-31 11:00:00 CST,FanDuel,spreads,Lamar Cardinals,1.93,-5.5,East Texas A&M Lions,Lamar Cardinals
CBBM,,236630823a1d721d6706b6020eb229d3,2025-12-31 11:00:00 CST,FanDuel,totals,Over,1.89,142.5,East Texas A&M Lions,Lamar Cardinals
CBBM,,236630823a1d721d6706b6020eb229d3,2025-12-31 11:00:00 CST,FanDuel,totals,Under,1.93,142.5,East Texas A&M Lions,Lamar Cardinals
CBBM,,236630823a1d721d6706b6020eb229d3,2025-12-31 11:00:00 CST,Pinnacle,h2h,East Texas A&M Lions,2.92,,East Texas A&M Lions,Lamar Cardinals
CBBM,,236630823a1d721d6706b6020eb229d3,2025-12-31 11:00:00 CST,Pinnacle,h2h,Lamar Cardinals,1.42,,East Texas A&M Lions,Lamar Cardinals
CBBM,,236630823a1d721d6706b6020eb229d3,2025-12-31 11:00:00 CST,Pinnacle,spreads,East Texas A&M Lions,1.91,5.5,East Texas A&M Lions,Lamar Cardinals
CBBM,,236630823a1d721d6706b6020eb229d3,2025-12-31 11:00:00 CST,Pinnacle,spreads,Lamar Cardinals,1.91,-5.5,East Texas A&M Lions,Lamar Cardinals
CBBM,,236630823a1d721d6706b6020eb229d3,2025-12-31 11:00:00 CST,Pinnacle,totals,Over,1.89,143.0,East Texas A&M Lions,Lamar Cardinals
CBBM,,236630823a1d721d6706b6020eb229d3,2025-12-31 11:00:00 CST,Pinnacle,totals,Under,1.89,143.0,East Texas A&M Lions,Lamar Cardinals
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,BetOnline.ag,h2h,Furman Paladins,1.6,,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,BetOnline.ag,h2h,Mercer Bears,2.47,,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,BetOnline.ag,spreads,Furman Paladins,1.93,-3.0,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,BetOnline.ag,spreads,Mercer Bears,1.88,3.0,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,BetOnline.ag,totals,Over,1.82,153.5,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,BetOnline.ag,totals,Under,2.02,153.5,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,FanDuel,h2h,Furman Paladins,1.59,,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,FanDuel,h2h,Mercer Bears,2.38,,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,FanDuel,spreads,Furman Paladins,1.96,-3.5,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,FanDuel,spreads,Mercer Bears,1.85,3.5,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,FanDuel,totals,Over,1.91,154.5,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,FanDuel,totals,Under,1.91,154.5,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,Pinnacle,h2h,Furman Paladins,1.57,,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,Pinnacle,h2h,Mercer Bears,2.5,,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,Pinnacle,spreads,Furman Paladins,1.93,-3.5,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,Pinnacle,spreads,Mercer Bears,1.92,3.5,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,Pinnacle,totals,Over,1.9,154.5,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,Pinnacle,totals,Under,1.92,154.5,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,BetUS,h2h,Furman Paladins,1.61,,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,BetUS,h2h,Mercer Bears,2.42,,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,BetUS,spreads,Furman Paladins,1.91,-3.0,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,BetUS,spreads,Mercer Bears,1.91,3.0,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,BetUS,totals,Over,1.91,154.5,Furman Paladins,Mercer Bears
CBBM,,d3fcbbb102c780cc3a4cc3c30d5ffab4,2025-12-31 11:00:00 CST,BetUS,totals,Under,1.91,154.5,Furman Paladins,Mercer Bears
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,BetOnline.ag,h2h,Loyola (Chi) Ramblers,4.5,,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,BetOnline.ag,h2h,Rhode Island Rams,1.22,,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,BetOnline.ag,spreads,Loyola (Chi) Ramblers,1.95,9.0,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,BetOnline.ag,spreads,Rhode Island Rams,1.87,-9.0,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,BetOnline.ag,totals,Over,1.91,144.5,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,BetOnline.ag,totals,Under,1.91,144.5,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,FanDuel,h2h,Loyola (Chi) Ramblers,3.8,,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,FanDuel,h2h,Rhode Island Rams,1.28,,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,FanDuel,spreads,Loyola (Chi) Ramblers,1.91,7.5,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,FanDuel,spreads,Rhode Island Rams,1.91,-7.5,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,FanDuel,totals,Over,1.95,146.5,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,FanDuel,totals,Under,1.87,146.5,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,Pinnacle,h2h,Loyola (Chi) Ramblers,3.73,,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,Pinnacle,h2h,Rhode Island Rams,1.3,,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,Pinnacle,spreads,Loyola (Chi) Ramblers,1.93,7.5,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,Pinnacle,spreads,Rhode Island Rams,1.92,-7.5,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,Pinnacle,totals,Over,1.89,145.5,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,Pinnacle,totals,Under,1.93,145.5,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,BetUS,h2h,Loyola (Chi) Ramblers,4.55,,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,BetUS,h2h,Rhode Island Rams,1.22,,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,BetUS,spreads,Loyola (Chi) Ramblers,1.95,9.0,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,BetUS,spreads,Rhode Island Rams,1.87,-9.0,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,BetUS,totals,Over,1.91,145.5,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,7a0f17dc0b1df9c0ae4e6948a34c0687,2025-12-31 11:00:00 CST,BetUS,totals,Under,1.91,145.5,Rhode Island Rams,Loyola (Chi) Ramblers
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,FanDuel,h2h,NC State Wolfpack,1.17,,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,FanDuel,h2h,Wake Forest Demon Deacons,5.3,,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,FanDuel,spreads,NC State Wolfpack,1.83,-9.5,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,FanDuel,spreads,Wake Forest Demon Deacons,1.98,9.5,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,FanDuel,totals,Over,1.95,158.5,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,FanDuel,totals,Under,1.87,158.5,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,BetOnline.ag,h2h,NC State Wolfpack,1.18,,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,BetOnline.ag,h2h,Wake Forest Demon Deacons,5.15,,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,BetOnline.ag,spreads,NC State Wolfpack,1.91,-10.0,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,BetOnline.ag,spreads,Wake Forest Demon Deacons,1.91,10.0,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,BetOnline.ag,totals,Over,1.91,157.5,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,BetOnline.ag,totals,Under,1.91,157.5,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,BetUS,h2h,NC State Wolfpack,1.18,,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,BetUS,h2h,Wake Forest Demon Deacons,5.25,,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,BetUS,spreads,NC State Wolfpack,1.91,-10.0,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,BetUS,spreads,Wake Forest Demon Deacons,1.91,10.0,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,BetUS,totals,Over,1.91,158.0,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,BetUS,totals,Under,1.91,158.0,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,Pinnacle,h2h,NC State Wolfpack,1.18,,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,Pinnacle,h2h,Wake Forest Demon Deacons,5.18,,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,Pinnacle,spreads,NC State Wolfpack,1.93,-10.0,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,Pinnacle,spreads,Wake Forest Demon Deacons,1.92,10.0,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,Pinnacle,totals,Over,1.88,158.0,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,c6188c6778296e7627078dbba7039da3,2025-12-31 11:00:55 CST,Pinnacle,totals,Under,1.93,158.0,NC State Wolfpack,Wake Forest Demon Deacons
CBBM,,216d6b3f8dd44ee612fe96dbc366ecc5,2025-12-31 12:00:00 CST,BetOnline.ag,spreads,American Eagles,1.91,-10.0,American Eagles,Loyola (MD) Greyhounds
CBBM,,216d6b3f8dd44ee612fe96dbc366ecc5,2025-12-31 12:00:00 CST,BetOnline.ag,spreads,Loyola (MD) Greyhounds,1.91,10.0,American Eagles,Loyola (MD) Greyhounds
CBBM,,216d6b3f8dd44ee612fe96dbc366ecc5,2025-12-31 12:00:00 CST,BetOnline.ag,totals,Over,1.91,154.0,American Eagles,Loyola (MD) Greyhounds
CBBM,,216d6b3f8dd44ee612fe96dbc366ecc5,2025-12-31 12:00:00 CST,BetOnline.ag,totals,Under,1.91,154.0,American Eagles,Loyola (MD) Greyhounds
CBBM,,216d6b3f8dd44ee612fe96dbc366ecc5,2025-12-31 12:00:00 CST,FanDuel,h2h,American Eagles,1.17,,American Eagles,Loyola (MD) Greyhounds
CBBM,,216d6b3f8dd44ee612fe96dbc366ecc5,2025-12-31 12:00:00 CST,FanDuel,h2h,Loyola (MD) Greyhounds,5.2,,American Eagles,Loyola (MD) Greyhounds
CBBM,,216d6b3f8dd44ee612fe96dbc366ecc5,2025-12-31 12:00:00 CST,FanDuel,spreads,American Eagles,1.83,-9.5,American Eagles,Loyola (MD) Greyhounds
CBBM,,216d6b3f8dd44ee612fe96dbc366ecc5,2025-12-31 12:00:00 CST,FanDuel,spreads,Loyola (MD) Greyhounds,1.98,9.5,American Eagles,Loyola (MD) Greyhounds
CBBM,,216d6b3f8dd44ee612fe96dbc366ecc5,2025-12-31 12:00:00 CST,FanDuel,totals,Over,1.89,153.5,American Eagles,Loyola (MD) Greyhounds
CBBM,,216d6b3f8dd44ee612fe96dbc366ecc5,2025-12-31 12:00:00 CST,FanDuel,totals,Under,1.93,153.5,American Eagles,Loyola (MD) Greyhounds
CBBM,,216d6b3f8dd44ee612fe96dbc366ecc5,2025-12-31 12:00:00 CST,Pinnacle,h2h,American Eagles,1.17,,American Eagles,Loyola (MD) Greyhounds
CBBM,,216d6b3f8dd44ee612fe96dbc366ecc5,2025-12-31 12:00:00 CST,Pinnacle,h2h,Loyola (MD) Greyhounds,5.09,,American Eagles,Loyola (MD) Greyhounds
CBBM,,216d6b3f8dd44ee612fe96dbc366ecc5,2025-12-31 12:00:00 CST,Pinnacle,spreads,American Eagles,1.95,-10.5,American Eagles,Loyola (MD) Greyhounds
CBBM,,216d6b3f8dd44ee612fe96dbc366ecc5,2025-12-31 12:00:00 CST,Pinnacle,spreads,Loyola (MD) Greyhounds,1.86,10.5,American Eagles,Loyola (MD) Greyhounds
CBBM,,216d6b3f8dd44ee612fe96dbc366ecc5,2025-12-31 12:00:00 CST,Pinnacle,totals,Over,1.85,153.5,American Eagles,Loyola (MD) Greyhounds
CBBM,,216d6b3f8dd44ee612fe96dbc366ecc5,2025-12-31 12:00:00 CST,Pinnacle,totals,Under,1.93,153.5,American Eagles,Loyola (MD) Greyhounds
CBBM,,9bff627faf0690b6166e0a221c3eb017,2025-12-31 12:00:00 CST,BetOnline.ag,spreads,Boston Univ. Terriers,1.94,4.5,Navy Midshipmen,Boston Univ. Terriers
CBBM,,9bff627faf0690b6166e0a221c3eb017,2025-12-31 12:00:00 CST,BetOnline.ag,spreads,Navy Midshipmen,1.88,-4.5,Navy Midshipmen,Boston Univ. Terriers
CBBM,,9bff627faf0690b6166e0a221c3eb017,2025-12-31 12:00:00 CST,BetOnline.ag,totals,Over,1.95,137.5,Navy Midshipmen,Boston Univ. Terriers
CBBM,,9bff627faf0690b6166e0a221c3eb017,2025-12-31 12:00:00 CST,BetOnline.ag,totals,Under,1.87,137.5,Navy Midshipmen,Boston Univ. Terriers
CBBM,,9bff627faf0690b6166e0a221c3eb017,2025-12-31 12:00:00 CST,FanDuel,h2h,Boston Univ. Terriers,2.72,,Navy Midshipmen,Boston Univ. Terriers
CBBM,,9bff627faf0690b6166e0a221c3eb017,2025-12-31 12:00:00 CST,FanDuel,h2h,Navy Midshipmen,1.47,,Navy Midshipmen,Boston Univ. Terriers
CBBM,,9bff627faf0690b6166e0a221c3eb017,2025-12-31 12:00:00 CST,FanDuel,spreads,Boston Univ. Terriers,1.89,4.5,Navy Midshipmen,Boston Univ. Terriers
